elbo,-kl,log_px,log_py
-239.0,-0.342407,-101.107,-137.858
-111.417,-1.86479,-42.1997,-69.0311
-52.4288,-3.56443,-22.0909,-29.9815
-180.276,-5.03214,-75.8868,-103.886
-229.721,-5.34736,-93.9469,-135.239
-163.331,-4.61165,-67.7374,-95.1322
-184.113,-4.62107,-73.3858,-110.265
-142.384,-3.55884,-54.9662,-87.0617
-151.615,-4.44186,-57.6022,-93.5684
-149.512,-5.32694,-57.5711,-91.4083
-106.223,-4.67916,-39.3976,-66.3576
-41.9977,-3.85104,-13.2433,-28.3693
-178.854,-9.17017,-60.6296,-117.307
-161.546,-12.999,-57.3802,-102.866
-147.238,-22.111,-47.8988,-97.1277
-150.495,-26.0295,-47.7583,-100.134
-150.904,-28.5368,-43.6623,-104.388
-139.288,-49.542,-43.46,-90.8735
-147.65,-53.0721,-40.4305,-101.913
-104.842,-51.7125,-26.7286,-72.9426
-141.475,-55.5046,-35.4787,-100.446
-126.236,-78.2707,-32.5451,-85.8639
-140.133,-67.136,-36.735,-96.6848
-141.258,-47.7742,-39.6943,-96.7868
-116.357,-42.033,-26.7951,-85.3581
-54.6666,-32.9474,-12.0741,-39.2978
-67.5018,-21.5836,-18.2072,-47.1362
-115.356,-48.5121,-25.776,-84.7287
-25.9003,-65.5611,-4.84342,-14.5008
-68.5024,-27.0231,-14.9638,-50.8362
-114.356,-27.9662,-30.8734,-80.6855
-140.299,-25.1759,-28.253,-109.528
-67.3173,-18.4609,-16.2389,-49.2324
-148.08,-11.5752,-31.0399,-115.883
-74.2892,-10.3537,-18.3427,-54.9111
-97.5097,-15.1224,-23.1565,-72.841
-143.372,-15.261,-30.4035,-111.442
-119.241,-18.5062,-29.1031,-88.2871
-110.405,-12.9303,-27.9382,-81.1735
-109.651,-20.0483,-30.3714,-77.2744
-118.484,-13.8179,-28.4933,-88.6086
-118.779,-15.2756,-28.3046,-88.9473
-70.1012,-7.35956,-16.1878,-53.1774
-114.862,-17.7218,-25.4049,-87.6854
-16.1101,-23.9655,-3.32357,-10.3899
-95.528,-12.781,-21.7384,-72.5116
-115.225,-17.6263,-21.9248,-91.5373
-107.624,-16.0451,-24.076,-81.9432
-168.748,-9.10588,-32.2648,-135.572
-142.597,-23.0666,-30.5228,-109.767
-100.161,-22.0723,-21.6534,-76.3004
-101.888,-18.2391,-22.7769,-77.2874
-143.835,-15.4053,-31.2742,-111.02
-101.685,-21.9287,-22.9224,-76.5702
-57.46,-6.54151,-13.2499,-43.556
-203.854,-9.34672,-32.9916,-169.928
-140.122,-9.26816,-26.8044,-112.391
-118.816,-14.3546,-26.078,-91.3027
-116.082,-11.1337,-24.6748,-90.2936
-104.846,-17.6941,-21.6119,-81.4647
-124.13,-12.2755,-25.213,-97.6899
-121.99,-23.3002,-23.7963,-95.8642
-99.5654,-7.38376,-18.0362,-80.7909
-101.828,-19.1764,-20.6557,-79.2549
-124.677,-17.158,-22.4183,-100.543
-120.782,-30.7634,-25.7234,-91.9822
-115.243,-24.238,-21.413,-91.4065
-119.246,-13.3827,-25.1147,-92.7932
-41.1182,-9.71669,-9.79047,-30.3561
-49.3285,-11.9714,-11.0923,-37.0391
-118.315,-26.3892,-25.2943,-90.3819
-104.016,-28.5879,-19.5516,-81.606
-118.949,-15.8844,-22.8594,-94.5016
-96.4541,-26.0219,-18.3527,-75.4992
-47.6345,-9.06624,-10.4648,-36.2631
-108.69,-25.7233,-20.9497,-85.1678
-82.411,-24.7651,-15.6965,-64.238
-95.9063,-24.5867,-16.5002,-76.9474
-149.802,-34.3524,-30.324,-116.043
-80.3856,-20.5636,-17.5575,-60.7718
-112.478,-13.883,-20.801,-90.2888
-115.6,-22.0273,-19.991,-93.406
-94.068,-27.9906,-17.5227,-73.7463
-18.5881,-27.5727,-2.98898,-12.8419
-98.5508,-15.7908,-17.507,-79.4648
-85.39,-16.4124,-16.4389,-67.3098
-92.5767,-24.016,-18.4268,-71.7483
-105.924,-20.7363,-21.9497,-81.9002
-101.17,-21.508,-19.5844,-79.4348
-54.8871,-5.1827,-11.7869,-42.582
-109.7,-25.8735,-19.6572,-87.4559
-110.942,-19.577,-19.6798,-89.3049
-20.3901,-22.6135,-6.07039,-12.0583
-20.7281,-5.81632,-2.76843,-17.378
-38.4867,-12.2499,-9.35182,-27.9099
-28.2491,-12.0466,-6.77889,-20.2656
-100.151,-25.6195,-19.7708,-77.818
-95.8191,-23.9002,-17.8929,-75.5361
-104.88,-20.2555,-19.4307,-83.4242
-97.338,-18.6971,-18.1844,-77.2839
-104.988,-25.3251,-19.656,-82.7998
-62.3773,-11.7122,-10.4292,-50.777
-107.334,-19.0179,-19.5567,-85.875
-99.2041,-31.4065,-18.6863,-77.3772
-123.123,-22.4192,-24.3957,-96.4855
-123.174,-23.9104,-22.3584,-98.4242
-118.29,-21.9406,-21.1203,-94.976
-109.65,-27.6721,-18.6853,-88.1973
-103.845,-27.9963,-17.8897,-83.1559
-125.166,-19.9261,-23.5166,-99.657
-78.7598,-14.1423,-13.7979,-63.5476
-102.757,-20.2545,-17.9943,-82.7376
-126.089,-23.2126,-24.6898,-99.0781
-96.8965,-28.705,-19.2012,-74.8248
-121.169,-28.0757,-21.5891,-96.7728
-105.349,-23.47,-19.9131,-83.0894
-108.722,-8.62682,-17.7566,-90.1026
-46.0941,-6.21509,-5.89228,-39.5803
-105.699,-26.937,-17.4299,-85.5753
-17.3118,-29.0263,-2.68769,-11.7215
-77.1459,-20.5691,-16.0964,-58.9925
-151.16,-10.1219,-18.5153,-131.633
-100.185,-21.9764,-17.987,-80.0002
-135.167,-24.8941,-23.9626,-108.715
-105.727,-31.3967,-20.2021,-82.3848
-108.617,-17.9502,-19.2369,-87.585
-17.3358,-16.209,-2.63585,-13.0791
-57.9925,-13.631,-9.04004,-47.5893
-108.804,-20.9504,-19.6232,-87.0855
-14.8481,-22.1242,-2.29228,-10.3434
-88.7866,-29.6678,-16.3089,-69.5109
-138.844,-6.27196,-17.6372,-120.58
-128.978,-13.9848,-22.219,-105.36
