elbo,-kl,log_px,log_py
-2.86385,-1.52681,-1.38143,-1.32974
-2.72392,-1.47951,-1.2141,-1.36188
-4.66848,-1.39335,-2.10817,-2.42097
-3.33047,-1.38873,-1.31891,-1.87269
-3.79088,-1.35986,-2.00627,-1.64862
-2.97333,-1.31269,-1.40624,-1.43581
-2.10925,-1.26486,-1.0546,-0.928166
-3.0322,-1.2346,-1.54767,-1.36107
-3.0505,-1.19354,-1.39887,-1.53228
-2.73588,-1.15827,-1.34911,-1.27095
-2.99276,-1.12862,-1.47851,-1.40138
-3.61649,-1.09964,-1.69414,-1.81238
-3.222,-1.06494,-1.52877,-1.58673
-2.92798,-1.02997,-1.34025,-1.48474
-3.77993,-1.01199,-1.74355,-1.93519
-1.37183,-0.95348,-0.64313,-0.633355
-4.08435,-0.937941,-1.99275,-1.99781
-2.81671,-0.923376,-1.42307,-1.3013
-3.41824,-0.908825,-1.55006,-1.7773
-4.38363,-0.904417,-2.18513,-2.10806
-3.1524,-0.866938,-1.62171,-1.444
-2.7644,-0.837792,-1.3994,-1.28122
-4.80039,-0.833914,-2.24034,-2.47666
-2.55599,-0.791,-1.16521,-1.31168
-2.68822,-0.779683,-1.2624,-1.34785
-2.35161,-0.765265,-1.19329,-1.0818
-2.51841,-0.748709,-1.20502,-1.23852
-2.56857,-0.73526,-1.24443,-1.25062
-4.14518,-0.756561,-2.11612,-1.9534
-2.64092,-0.711733,-1.2975,-1.27224
-5.12032,-0.738733,-2.24566,-2.80079
-2.79014,-0.692019,-1.32946,-1.39147
-4.67829,-0.714498,-1.89694,-2.7099
-3.96173,-0.702205,-1.80231,-2.0892
-2.79472,-0.669966,-1.35897,-1.36875
-3.53896,-0.692408,-1.82185,-1.64787
-2.87283,-0.660635,-1.45599,-1.35077
-3.22699,-0.669554,-1.56089,-1.59915
-2.97746,-0.655553,-1.46177,-1.45014
-2.79507,-0.657896,-1.45677,-1.2725
-1.61256,-0.60437,-0.727075,-0.825045
-2.66053,-0.638381,-1.34522,-1.25148
-2.5241,-0.627392,-1.16881,-1.29254
-2.59138,-0.612231,-1.10113,-1.42903
-2.75126,-0.62376,-1.28502,-1.40387
-3.11898,-0.63955,-1.4888,-1.56623
-3.0023,-0.623475,-1.40693,-1.53302
-3.76784,-0.689525,-1.80008,-1.89881
-3.05026,-0.623839,-1.34113,-1.64674
-1.02708,-0.552007,-0.41547,-0.556406
-2.2927,-0.5928,-1.02825,-1.20517
-2.40142,-0.593887,-1.08419,-1.25784
-3.53127,-0.697848,-1.7559,-1.70559
-2.46885,-0.59924,-1.07169,-1.33724
-2.52646,-0.612929,-1.2655,-1.19966
-2.85306,-0.612251,-1.31468,-1.47715
-3.37051,-0.640274,-1.53687,-1.76961
-3.45123,-0.659287,-1.57077,-1.81453
-1.90216,-0.585154,-0.879581,-0.96406
-1.85577,-0.588099,-0.89906,-0.897898
-2.55527,-0.615469,-1.25529,-1.23844
-2.46127,-0.609005,-1.10809,-1.29228
-3.01078,-0.651774,-1.4108,-1.5348
-1.82056,-0.58227,-0.881324,-0.881014
-2.43156,-0.617768,-1.11826,-1.25153
-1.02941,-0.531638,-0.480148,-0.496094
-1.6647,-0.559882,-0.745591,-0.863123
-1.89312,-0.588181,-0.895169,-0.939128
-3.12171,-0.659505,-1.50054,-1.55523
-2.78023,-0.63723,-1.22599,-1.49051
-3.18485,-0.687582,-1.46351,-1.65258
-2.77585,-0.662593,-1.2907,-1.41888
-1.44529,-0.553526,-0.64846,-0.741478
-2.03147,-0.595015,-0.899456,-1.07252
-2.48885,-0.652528,-1.1621,-1.2615
-2.37972,-0.669583,-1.12562,-1.18714
-1.88997,-0.614633,-0.916612,-0.911899
-3.15853,-0.756447,-1.49268,-1.5902
-2.70798,-0.729585,-1.37287,-1.26215
-2.41723,-0.660679,-1.09912,-1.25205
-2.22249,-0.675124,-1.03853,-1.11645
-1.77997,-0.672544,-0.907285,-0.805433
-2.33491,-0.696891,-1.06142,-1.20381
-1.96741,-0.658181,-0.858111,-1.04348
-0.761423,-0.507446,-0.325887,-0.384791
-2.84045,-0.744078,-1.17699,-1.58905
-1.1666,-0.547093,-0.46285,-0.64904
-2.50192,-0.744517,-1.12809,-1.29938
-2.95214,-0.861991,-1.36108,-1.50486
-3.86446,-1.15495,-1.45891,-2.29006
-3.65409,-1.02387,-1.77266,-1.77904
-1.43699,-0.629248,-0.581739,-0.792328
-2.71319,-0.961487,-1.43935,-1.1777
-2.56118,-0.847609,-1.12028,-1.35614
-2.81392,-0.854528,-1.10124,-1.62723
-1.63061,-0.71305,-0.692727,-0.866578
-2.44739,-0.914149,-1.11392,-1.24205
-2.31019,-0.886368,-1.11797,-1.10358
-2.889,-1.00871,-1.14193,-1.6462
-2.97915,-1.05584,-1.17755,-1.69602
-4.11251,-1.37931,-1.75878,-2.2158
-2.3859,-0.973203,-0.99125,-1.29733
-4.44178,-2.2307,-1.57549,-2.64322
-3.14789,-1.19718,-1.39255,-1.63562
-1.2489,-0.779725,-0.505712,-0.66522
-1.5659,-0.894701,-0.630821,-0.845605
-2.41443,-1.07517,-1.01622,-1.2907
-2.58125,-1.54649,-0.954795,-1.47181
-2.01242,-1.08667,-0.807977,-1.09577
-1.70038,-1.02742,-0.750914,-0.846723
-3.12135,-2.15136,-1.15388,-1.75234
-1.89882,-1.01635,-0.71337,-1.08382
-2.24113,-1.24576,-0.915073,-1.20148
-1.81032,-1.13949,-0.758234,-0.938133
-3.04598,-1.71651,-0.985817,-1.88851
-3.09679,-1.79365,-1.25344,-1.66399
-2.6827,-1.51406,-1.05463,-1.47666
-2.45145,-1.58778,-0.999274,-1.2934
