elbo,-kl,log_px,log_py
-2.31923,-0.632888,-1.07101,-1.18493
-1.77018,-0.600986,-0.868296,-0.841787
-2.94269,-0.621673,-1.5146,-1.36592
-3.37273,-0.620437,-1.75403,-1.55666
-2.50944,-0.557359,-1.17394,-1.27977
-3.03354,-0.560385,-1.49188,-1.48562
-2.96691,-0.550595,-1.60621,-1.30564
-2.72292,-0.521569,-1.35384,-1.31692
-2.81797,-0.517166,-1.53466,-1.23159
-2.65832,-0.48346,-1.18764,-1.42233
-3.223,-0.489403,-1.61034,-1.56372
-2.80862,-0.46869,-1.34037,-1.42138
-3.51565,-0.486474,-1.84409,-1.62292
-2.14403,-0.423071,-1.01516,-1.08656
-2.90536,-0.429788,-1.1891,-1.67329
-0.707838,-0.368141,-0.351533,-0.319491
-3.38701,-0.447872,-1.8117,-1.53052
-1.94476,-0.402265,-1.07832,-0.826212
-3.1115,-0.428916,-1.64194,-1.42667
-3.65645,-0.461785,-2.14235,-1.46793
-2.00532,-0.377906,-1.03181,-0.935726
-3.06033,-0.402154,-1.53552,-1.48459
-3.44829,-0.420361,-1.85052,-1.55574
-0.951721,-0.332324,-0.486132,-0.432357
-2.2672,-0.365931,-1.09353,-1.13708
-2.80254,-0.393266,-1.54624,-1.21697
-1.17285,-0.327875,-0.625611,-0.514449
-2.49465,-0.373912,-1.33977,-1.11748
-2.02716,-0.345276,-1.04837,-0.944262
-2.61775,-0.367731,-1.29133,-1.28965
-2.27729,-0.333432,-1.06134,-1.18261
-2.36956,-0.363908,-1.27984,-1.05333
-2.45544,-0.365869,-1.28317,-1.13568
-0.910962,-0.302277,-0.394533,-0.486202
-2.15465,-0.351491,-1.12573,-0.993774
-2.02994,-0.34186,-1.00417,-0.991584
-2.74236,-0.369942,-1.3936,-1.31177
-2.27203,-0.35992,-1.3016,-0.934435
-2.88848,-0.369623,-1.46701,-1.38451
-0.95596,-0.2954,-0.381895,-0.544525
-2.28832,-0.355071,-1.23782,-1.01499
-2.47443,-0.358921,-1.27399,-1.16455
-2.16503,-0.340913,-1.0362,-1.09475
-1.96054,-0.337676,-0.968116,-0.958657
-1.63773,-0.325137,-0.824313,-0.780908
-2.51061,-0.364569,-1.30988,-1.16427
-2.11644,-0.338104,-0.911113,-1.17152
-2.37317,-0.354547,-1.13906,-1.19865
-1.63923,-0.335853,-0.81675,-0.788894
-2.26827,-0.357233,-1.09437,-1.13818
-1.9556,-0.350837,-1.01677,-0.90375
-2.98964,-0.391996,-1.41989,-1.53055
-1.84977,-0.356754,-0.967979,-0.846112
-1.4608,-0.343335,-0.747319,-0.679148
-2.4586,-0.396366,-1.33983,-1.07913
-2.51225,-0.402119,-1.34358,-1.12845
-2.67761,-0.399844,-1.28757,-1.35006
-1.94024,-0.38832,-1.08125,-0.820165
-1.0308,-0.333611,-0.519471,-0.477963
-3.12546,-0.445541,-1.61375,-1.46715
-2.50575,-0.434365,-1.38366,-1.07865
-1.89711,-0.388115,-0.959268,-0.899033
-3.04719,-0.465912,-1.53646,-1.46414
-2.60224,-0.446716,-1.31085,-1.24672
-2.8742,-0.47461,-1.4321,-1.39464
-2.1086,-0.446635,-1.13796,-0.92598
-2.20939,-0.452336,-1.07478,-1.08937
-1.68717,-0.42449,-0.795791,-0.848933
-2.98131,-0.526902,-1.52552,-1.4031
-1.58677,-0.447138,-0.798878,-0.743183
-2.09854,-0.484618,-1.01176,-1.03832
-2.56631,-0.53228,-1.29556,-1.21753
-2.08286,-0.48786,-0.966238,-1.06784
-2.65397,-0.551548,-1.27511,-1.32371
-3.06581,-0.613724,-1.60465,-1.39979
-2.05986,-0.553787,-1.0745,-0.929976
-2.80261,-0.681584,-1.37201,-1.36245
-1.87669,-0.568749,-0.95814,-0.861671
-1.71668,-0.571964,-0.945407,-0.714082
-2.50866,-0.643942,-1.23982,-1.20444
-1.69856,-0.582048,-0.820552,-0.819798
-2.59083,-0.67687,-1.21176,-1.31139
-1.78927,-0.631062,-0.883411,-0.842754
-2.20218,-0.696603,-1.09833,-1.03419
-2.73907,-0.745387,-1.26994,-1.39459
-1.60884,-0.645981,-0.786995,-0.757249
-1.89748,-0.702832,-0.946733,-0.880459
-1.52337,-0.67884,-0.803332,-0.652154
-2.2616,-0.772883,-1.13868,-1.04563
-2.44993,-0.825505,-1.25865,-1.10873
-2.16268,-0.815274,-1.18306,-0.89809
-2.63575,-0.884955,-1.40209,-1.14517
-1.55822,-0.77582,-0.831045,-0.649596
-2.98648,-0.955256,-1.42599,-1.46497
-3.04938,-0.947977,-1.41301,-1.54157
-2.83265,-1.04999,-1.51398,-1.21367
-1.1731,-0.740121,-0.528588,-0.570497
-1.11332,-0.734689,-0.505412,-0.534439
-0.669706,-0.672263,-0.295057,-0.307422
-1.96257,-0.908694,-0.896605,-0.975099
-1.63676,-0.887638,-0.80304,-0.744957
-2.10268,-0.937603,-0.951943,-1.05698
-1.48668,-0.857134,-0.703366,-0.697604
-2.92178,-1.13569,-1.34484,-1.46337
-1.99839,-0.956433,-0.914959,-0.98779
-1.69646,-0.956637,-0.835648,-0.76515
-2.31264,-1.1002,-1.05926,-1.14336
-1.73633,-1.02824,-0.888116,-0.745388
-2.06053,-1.02484,-0.861195,-1.09685
-2.53054,-1.23676,-1.17015,-1.23672
-1.90983,-1.07578,-0.899015,-0.903233
-1.6535,-1.04119,-0.784418,-0.764967
-1.05384,-0.895734,-0.436812,-0.527458
-1.94691,-1.10112,-0.856091,-0.980703
-0.621924,-0.766691,-0.249214,-0.296041
-2.21702,-1.22384,-0.988739,-1.1059
-3.31853,-2.42445,-1.75007,-1.32601
-2.52727,-1.43281,-1.06017,-1.32382
-2.35812,-1.4084,-1.04355,-1.17373
-1.33762,-1.0535,-0.539291,-0.692975
-2.4997,-1.51303,-1.11457,-1.23383
-2.07474,-1.39782,-0.956358,-0.9786
-1.25619,-1.17333,-0.542676,-0.596177
-1.70517,-1.32905,-0.733914,-0.838353
-1.87649,-1.34078,-0.804476,-0.937936
-1.98321,-1.49557,-0.816569,-1.01708
-1.03362,-1.1064,-0.43562,-0.487365
-2.47204,-1.86145,-1.10172,-1.18418
-1.81819,-1.56316,-0.843092,-0.818787
-2.19609,-1.68134,-0.929203,-1.09876
-2.70636,-3.07673,-1.1336,-1.26508
-1.66554,-1.46377,-0.679695,-0.839471
-1.30821,-1.31811,-0.583164,-0.593234
-1.21411,-1.18299,-0.439413,-0.656397
-2.28921,-1.97663,-0.932818,-1.15873
-2.84608,-2.4418,-1.22268,-1.37923
-1.51863,-1.47617,-0.625976,-0.745042
-1.90798,-1.68325,-0.707375,-1.03228
-1.9,-1.92983,-0.78858,-0.918439
-2.35418,-1.93754,-0.813894,-1.34653
-3.65001,-3.39212,-1.61133,-1.69947
-1.62372,-1.65749,-0.646164,-0.811808
-1.81874,-2.02037,-0.779895,-0.83681
-1.47762,-1.73088,-0.627094,-0.677441
-1.36231,-1.59368,-0.504188,-0.698751
-1.86729,-1.94534,-0.732625,-0.940134
-1.14188,-1.53584,-0.463807,-0.524487
-1.88387,-2.1165,-0.70131,-0.970909
-1.27534,-1.74376,-0.490869,-0.610094
-1.75992,-1.86038,-0.712643,-0.861237
-1.1048,-1.38831,-0.430982,-0.534983
-1.88732,-2.32843,-0.781101,-0.873372
-2.74853,-4.41523,-0.873594,-1.43341
-0.891316,-1.42585,-0.340882,-0.407849
-1.87585,-2.07245,-0.78525,-0.883352
-1.4221,-1.64966,-0.572002,-0.685136
-4.99507,-5.06806,-1.82455,-2.66371
-1.49383,-1.79265,-0.652887,-0.661676
-1.62033,-2.01291,-0.632423,-0.786617
-1.92706,-2.24538,-0.755236,-0.94729
-1.90467,-2.08802,-0.705405,-0.990462
-2.03634,-2.35636,-0.751321,-1.04939
-2.17103,-2.33152,-0.773535,-1.16435
-1.93992,-2.21496,-0.737773,-0.980654
-1.55932,-1.97034,-0.637041,-0.725247
-1.85568,-2.1888,-0.708917,-0.927885
-2.18596,-2.59872,-0.884803,-1.04129
-2.10258,-2.45193,-0.796388,-1.061
-1.28417,-1.45962,-0.468317,-0.669888
-1.75892,-2.07739,-0.702316,-0.848861
-1.31088,-1.86933,-0.46653,-0.657415
-1.53241,-2.07074,-0.621261,-0.704073
-1.76384,-2.00492,-0.676587,-0.886765
-1.79414,-2.40025,-0.765284,-0.788827
-0.664798,-0.959317,-0.237374,-0.331492
-1.79225,-2.05497,-0.698839,-0.887911
-1.5872,-1.77476,-0.678592,-0.731134
-0.989617,-1.35378,-0.363731,-0.490508
-0.758009,-1.07846,-0.265328,-0.384835
-0.992765,-1.22654,-0.348364,-0.521748
-1.01904,-1.17513,-0.39455,-0.506974
-1.48275,-1.81735,-0.540326,-0.760693
-1.37575,-1.70954,-0.551289,-0.653502
-1.61197,-1.67817,-0.590247,-0.853901
-1.98664,-2.39428,-0.839017,-0.908197
-2.12575,-2.41207,-0.782202,-1.10234
-1.76111,-1.88713,-0.655569,-0.916827
-2.18798,-2.29486,-0.830925,-1.12757
-1.66701,-1.65718,-0.596424,-0.904873
-1.71387,-1.90504,-0.658271,-0.865096
-1.65446,-1.96841,-0.663883,-0.793734
-1.65426,-1.80124,-0.572507,-0.901628
-1.3545,-1.47975,-0.5314,-0.675128
-2.0261,-1.86251,-0.766234,-1.07361
-2.24078,-2.47262,-0.847706,-1.14581
-1.64376,-1.8102,-0.573126,-0.88961
-1.7545,-2.51176,-0.480075,-1.02325
-1.19767,-1.26874,-0.465707,-0.605086
-2.15914,-2.42975,-0.902683,-1.01348
-1.7031,-1.79381,-0.595473,-0.928242
-1.19923,-1.17061,-0.362612,-0.719556
-1.88758,-2.28765,-0.656507,-1.00231
-1.86113,-2.24209,-0.779933,-0.856991
-1.23513,-1.41879,-0.516319,-0.576936
-1.09996,-1.34424,-0.406782,-0.558753
-0.55251,-0.791666,-0.178055,-0.295288
-2.16112,-2.608,-0.842812,-1.05751
-1.55876,-1.80248,-0.576251,-0.802262
-1.20817,-1.57955,-0.454906,-0.595308
-1.34398,-1.39176,-0.519417,-0.685392
-1.49791,-1.76129,-0.595295,-0.726484
-2.04324,-3.90102,-0.629886,-1.02326
-1.29855,-1.34304,-0.486631,-0.67761
-0.856677,-0.988056,-0.276086,-0.481785
-0.557696,-0.895513,-0.190971,-0.277174
-2.26326,-2.67047,-0.913683,-1.08253
-1.53406,-1.75004,-0.561399,-0.797652
-1.42799,-1.64594,-0.519611,-0.74379
-1.41868,-1.78525,-0.518259,-0.721901
-1.44475,-1.62101,-0.52098,-0.761665
-1.41851,-1.43361,-0.603891,-0.671261
-1.69646,-1.86621,-0.66686,-0.842978
-1.54865,-1.66134,-0.516271,-0.866246
-1.948,-2.27339,-0.7923,-0.928365
-1.62209,-1.88123,-0.578786,-0.855182
-1.8282,-1.43279,-0.626909,-1.05801
-1.70333,-1.97573,-0.674313,-0.83144
-2.07971,-2.3919,-0.797769,-1.04275
-1.50408,-1.87203,-0.553003,-0.763872
-1.9457,-2.43616,-0.757509,-0.944576
-1.11169,-0.926614,-0.374351,-0.644677
-1.15067,-1.22528,-0.437869,-0.590271
-1.40806,-1.28204,-0.535807,-0.744054
-1.18965,-1.28598,-0.394086,-0.666963
-1.06499,-1.04863,-0.336402,-0.623724
-1.4781,-1.51206,-0.574589,-0.752304
-1.58313,-1.83422,-0.643178,-0.756525
-1.89645,-1.97367,-0.75917,-0.939913
-0.965474,-1.13782,-0.352989,-0.498702
-2.04739,-2.21035,-0.799746,-1.02661
-1.15694,-1.42843,-0.421206,-0.592887
-1.68288,-1.63542,-0.59315,-0.926193
-0.723201,-0.91871,-0.297061,-0.334269
-1.97815,-3.79005,-0.614805,-0.984339
-2.00737,-2.12107,-0.761459,-1.0338
-1.68694,-1.57835,-0.586951,-0.942158
-1.33267,-1.25909,-0.439317,-0.767447
-1.77299,-1.89682,-0.665816,-0.917493
-0.960227,-1.20741,-0.372826,-0.466661
-1.91706,-1.94643,-0.704881,-1.01754
-1.59915,-1.70975,-0.648452,-0.779727
-2.06379,-2.31954,-0.72311,-1.10873
-1.12697,-1.581,-0.440648,-0.528221
-1.6593,-1.70475,-0.640093,-0.848728
-1.75684,-1.82682,-0.632449,-0.941706
-2.34863,-2.64151,-0.840513,-1.24397
-1.87976,-1.78522,-0.713679,-0.987556
-1.30965,-1.3768,-0.470597,-0.701376
-0.932616,-0.969413,-0.376468,-0.459207
-1.60466,-1.83644,-0.554046,-0.866965
-1.50031,-1.36834,-0.620748,-0.742728
-1.55614,-2.23304,-0.714308,-0.61853
-1.04719,-1.33487,-0.375197,-0.538501
-1.67136,-1.7598,-0.640685,-0.854697
-0.586903,-0.812911,-0.178883,-0.32673
-2.09888,-2.10425,-0.777809,-1.11064
-2.07917,-1.48782,-0.851231,-1.07916
-1.23807,-1.21326,-0.482194,-0.634554
-1.81481,-1.909,-0.691303,-0.932602
-1.70531,-1.79706,-0.636494,-0.889114
-1.71837,-1.84346,-0.633086,-0.900934
-1.72905,-1.97251,-0.680316,-0.851483
-1.78535,-1.96559,-0.719638,-0.869158
-1.2658,-1.12938,-0.466191,-0.686674
-1.53599,-1.36272,-0.539384,-0.860329
-2.00484,-2.23474,-0.74869,-1.03268
-1.31913,-1.22539,-0.484921,-0.711668
-1.81657,-1.86507,-0.659359,-0.970709
-1.1228,-1.25058,-0.426552,-0.571191
-1.72148,-1.82848,-0.698442,-0.840189
-2.07737,-1.81688,-0.710502,-1.18518
-1.53579,-1.4889,-0.584165,-0.802735
-1.86634,-1.77757,-0.640343,-1.04824
-1.29613,-1.46479,-0.463573,-0.68608
-1.9522,-2.44047,-0.736242,-0.971906
-1.32934,-1.5905,-0.534701,-0.635584
-1.74285,-1.97159,-0.662377,-0.883314
-1.0743,-0.836742,-0.355441,-0.635188
-3.23507,-2.74771,-1.36445,-1.59585
-1.85842,-2.07707,-0.726031,-0.924685
-1.68988,-2.42241,-0.499895,-0.947748
-1.26762,-1.55513,-0.453117,-0.658992
-0.625841,-0.84674,-0.222607,-0.31856
-2.00563,-1.99071,-0.687441,-1.11911
-1.83831,-1.71475,-0.640994,-1.02584
-1.4398,-1.43168,-0.509832,-0.786803
-1.68823,-1.64068,-0.628329,-0.895831
-1.99778,-1.95376,-0.68399,-1.11842
-2.31579,-2.39511,-0.888747,-1.18753
-5.26292,-5.58475,-2.35333,-2.35112
-1.90019,-1.86116,-0.691681,-1.02239
-1.21637,-1.11753,-0.461374,-0.643247
-1.30884,-1.27972,-0.431939,-0.748932
-1.9781,-1.5904,-0.587064,-1.23199
-1.74928,-1.79918,-0.707392,-0.861974
-1.17049,-1.24648,-0.412811,-0.633033
-1.96379,-1.9914,-0.726083,-1.03857
-1.01433,-1.10192,-0.344249,-0.559893
-1.41357,-1.31503,-0.520975,-0.761097
-1.70248,-1.59258,-0.64194,-0.901279
-1.87621,-2.12141,-0.661889,-1.00218
-1.75469,-2.21814,-0.784879,-0.747997
-1.40962,-1.23462,-0.586907,-0.69925
-1.95517,-2.82785,-0.686578,-0.985807
-1.68967,-1.65834,-0.56566,-0.958174
-1.49894,-1.57481,-0.593184,-0.748277
-2.07579,-2.37923,-0.811078,-1.02679
-1.03104,-1.1141,-0.36711,-0.552516
-1.65147,-1.86138,-0.61204,-0.853296
-1.72566,-1.78167,-0.624075,-0.923416
-1.52602,-1.5954,-0.540271,-0.826207
-2.08142,-1.94494,-0.817459,-1.06947
-1.72487,-2.04825,-0.651059,-0.868987
-0.613039,-0.673922,-0.246845,-0.298802
-0.85046,-1.12289,-0.316216,-0.421955
-1.1972,-1.45877,-0.442782,-0.608544
-1.47071,-1.65071,-0.578599,-0.727044
-1.578,-1.69871,-0.525882,-0.882242
-1.28187,-1.33857,-0.467748,-0.680265
-3.1292,-2.69008,-1.16615,-1.69404
-2.12212,-2.06621,-0.712455,-1.20304
-1.89281,-2.08064,-0.663842,-1.0209
-1.53765,-1.75499,-0.439552,-0.922597
-2.43787,-3.49985,-0.681934,-1.40595
-1.94947,-2.01149,-0.687736,-1.06059
-1.33133,-1.41877,-0.443516,-0.745933
-1.91604,-2.0014,-0.669209,-1.04669
-1.35637,-1.51943,-0.543624,-0.660807
-1.92632,-2.43879,-0.701287,-0.981156
-1.85253,-2.12588,-0.632271,-1.00767
-1.60016,-1.81942,-0.547582,-0.87064
-0.97813,-1.16584,-0.328776,-0.53277
-1.7375,-2.25329,-0.616,-0.896171
-1.44716,-1.22787,-0.526309,-0.798065
-1.40064,-1.42506,-0.525242,-0.732896
-2.06915,-2.28225,-0.776786,-1.06414
-1.41557,-1.43889,-0.494328,-0.77735
