elbo,-kl,log_px,log_py
-300.34,-8.14232,-136.528,-162.998
-371.036,-7.41477,-168.643,-201.652
-334.912,-7.48029,-158.801,-175.363
-411.642,-7.23612,-195.027,-215.892
-459.111,-7.3317,-221.58,-236.798
-129.958,-7.2834,-63.5069,-65.7223
-402.009,-7.49157,-185.956,-215.304
-430.815,-7.70071,-197.069,-232.976
-472.493,-7.66066,-222.086,-249.641
-523.832,-8.04102,-233.779,-289.249
-180.585,-7.67172,-83.2014,-96.616
-109.302,-7.95682,-52.9939,-55.5121
-180.763,-8.37102,-86.4082,-93.5179
-72.4169,-9.28139,-33.0121,-38.4766
-366.797,-9.27306,-166.126,-199.743
-263.834,-10.2431,-119.727,-143.083
-82.3838,-13.2265,-35.6267,-45.4344
-221.624,-9.80513,-101.534,-119.11
-154.464,-11.0303,-61.1387,-92.2221
-264.511,-12.1336,-116.606,-146.691
-264.444,-12.1108,-118.882,-144.351
-383.001,-11.9693,-170.309,-211.495
-308.57,-13.5134,-140.107,-167.112
-468.973,-14.5706,-214.436,-253.079
-383.149,-14.8405,-180.825,-200.84
-292.683,-16.2846,-129.524,-161.531
-64.4933,-18.1959,-31.7703,-30.9034
-545.193,-19.937,-260.879,-282.32
-399.691,-20.183,-195.006,-202.666
-298.079,-19.7575,-137.778,-158.326
-83.4658,-25.5037,-34.9237,-45.9916
-210.281,-19.4421,-101.484,-106.853
-225.78,-25.7436,-104.919,-118.287
-304.882,-26.7562,-138.701,-163.505
-240.965,-24.7378,-110.252,-128.239
-263.003,-29.6392,-118.822,-141.217
-297.843,-28.6842,-135.473,-159.502
-305.81,-29.8685,-136.655,-166.169
-396.456,-35.2278,-185.632,-207.301
-406.826,-37.2558,-190.91,-212.19
-198.949,-33.8191,-92.3805,-103.187
-319.993,-41.3906,-151.991,-163.863
-254.246,-45.3387,-118.369,-131.343
-312.348,-48.7193,-141.169,-166.308
-225.37,-42.6711,-103.743,-117.359
-237.137,-45.3296,-104.848,-127.756
-325.512,-55.5949,-148.055,-171.898
-316.054,-52.9395,-144.439,-166.321
-191.844,-49.1931,-86.6783,-100.246
-246.322,-60.655,-107.183,-133.073
-274.955,-54.1392,-116.505,-153.035
-280.275,-54.7228,-118.516,-156.287
-159.108,-49.3141,-75.7205,-78.4563
-298.462,-75.499,-132.904,-158.009
-399.857,-49.3425,-182.478,-212.445
-109.656,-41.1287,-51.9182,-53.6247
-250.093,-66.4646,-107.923,-135.524
-265.276,-70.9929,-117.166,-141.012
-258.071,-50.7788,-116.287,-136.706
-235.218,-55.3133,-104.994,-124.693
-213.118,-53.9068,-90.8397,-116.888
-192.682,-52.2018,-82.6208,-104.841
-90.8453,-38.7265,-38.297,-48.6756
-158.124,-40.8406,-72.5625,-81.477
-245.605,-43.4843,-110.125,-131.131
-341.748,-63.4033,-148.753,-186.655
-295.336,-58.0553,-127.391,-162.139
-191.888,-42.9756,-88.7564,-98.8338
-296.732,-56.0189,-134.228,-156.903
-220.41,-43.4821,-96.0644,-119.997
-237.525,-52.4178,-102.714,-129.569
-185.659,-44.23,-82.8344,-98.4014
-158.228,-36.0293,-69.4261,-85.1994
-196.372,-42.1119,-88.2584,-103.903
-278.678,-51.4465,-123.209,-150.325
-314.825,-42.112,-137.885,-172.728
-164.992,-41.1046,-73.0763,-87.8048
-218.991,-44.3943,-95.5707,-118.981
