id	length	fscore	recall	precision
0	8	80.0	80.0	80.0
1	40	83.87	83.87	83.87
2	31	95.24	95.24	95.24
3	35	83.72	85.71	81.82
4	26	95.65	95.65	95.65
5	17	57.14	50.0	66.67
6	30	81.25	76.47	86.67
7	6	100.0	100.0	100.0
8	7	100.0	100.0	100.0
9	36	100.0	100.0	100.0
10	25	74.42	72.73	76.19
11	16	100.0	100.0	100.0
12	17	100.0	100.0	100.0
13	28	100.0	100.0	100.0
14	42	69.23	66.67	72.0
15	15	100.0	100.0	100.0
16	13	100.0	100.0	100.0
17	8	100.0	100.0	100.0
18	23	82.35	87.5	77.78
19	33	73.91	73.91	73.91
20	9	100.0	100.0	100.0
21	37	93.1	96.43	90.0
22	28	87.18	85.0	89.47
23	24	82.76	80.0	85.71
24	26	91.43	88.89	94.12
25	13	75.0	69.23	81.82
26	28	100.0	100.0	100.0
27	22	80.0	80.0	80.0
28	12	100.0	100.0	100.0
29	4	100.0	100.0	100.0
30	22	97.14	94.44	100.0
31	47	96.63	93.48	100.0
32	5	100.0	100.0	100.0
33	24	82.05	80.0	84.21
34	28	96.15	92.59	100.0
35	24	100.0	100.0	100.0
36	17	100.0	100.0	100.0
37	17	81.48	84.62	78.57
38	38	76.0	76.0	76.0
39	21	100.0	100.0	100.0
40	33	91.53	87.1	96.43
41	15	100.0	100.0	100.0
42	34	96.77	96.77	96.77
43	12	92.31	85.71	100.0
44	12	100.0	100.0	100.0
45	36	78.43	80.0	76.92
46	30	97.56	100.0	95.24
47	31	80.77	80.77	80.77
48	18	100.0	100.0	100.0
49	5	100.0	100.0	100.0
50	15	100.0	100.0	100.0
51	22	96.0	100.0	92.31
52	26	89.47	89.47	89.47
53	16	76.19	80.0	72.73
54	25	87.5	87.5	87.5
55	48	88.89	92.31	85.71
56	28	85.71	87.5	84.0
57	28	82.05	84.21	80.0
58	8	76.92	83.33	71.43
59	23	97.44	100.0	95.0
60	24	68.42	68.42	68.42
61	18	87.5	82.35	93.33
62	18	100.0	100.0	100.0
63	25	100.0	100.0	100.0
64	34	86.79	88.46	85.19
65	19	86.67	81.25	92.86
66	27	80.77	84.0	77.78
67	28	60.0	52.94	69.23
68	34	79.25	80.77	77.78
69	38	88.14	83.87	92.86
70	13	100.0	100.0	100.0
71	14	100.0	100.0	100.0
72	23	66.67	61.54	72.73
73	28	85.11	86.96	83.33
74	6	100.0	100.0	100.0
75	26	77.27	77.27	77.27
76	16	88.89	85.71	92.31
77	33	72.46	73.53	71.43
78	14	85.71	81.82	90.0
79	26	92.31	94.74	90.0
80	16	94.12	88.89	100.0
81	16	86.96	90.91	83.33
82	25	97.96	96.0	100.0
