id	length	fscore	recall	precision
0	8	80.0	80.0	80.0
1	40	87.1	87.1	87.1
2	31	92.68	90.48	95.0
3	35	95.45	100.0	91.3
4	26	97.78	95.65	100.0
5	17	91.67	91.67	91.67
6	30	84.85	82.35	87.5
7	6	100.0	100.0	100.0
8	7	75.0	75.0	75.0
9	36	97.78	95.65	100.0
10	25	82.61	86.36	79.17
11	16	100.0	100.0	100.0
12	17	100.0	100.0	100.0
13	28	100.0	100.0	100.0
14	42	69.23	66.67	72.0
15	15	100.0	100.0	100.0
16	13	100.0	100.0	100.0
17	8	100.0	100.0	100.0
18	23	90.91	93.75	88.24
19	33	81.82	78.26	85.71
20	9	100.0	100.0	100.0
21	37	89.66	92.86	86.67
22	28	78.95	75.0	83.33
23	24	71.43	66.67	76.92
24	26	91.43	88.89	94.12
25	13	80.0	76.92	83.33
26	28	100.0	100.0	100.0
27	22	77.42	80.0	75.0
28	12	100.0	100.0	100.0
29	4	100.0	100.0	100.0
30	22	97.14	94.44	100.0
31	47	93.33	91.3	95.45
32	5	100.0	100.0	100.0
33	24	95.0	95.0	95.0
34	28	94.34	92.59	96.15
35	24	100.0	100.0	100.0
36	17	100.0	100.0	100.0
37	17	91.67	84.62	100.0
38	38	85.71	84.0	87.5
39	21	100.0	100.0	100.0
40	33	94.92	90.32	100.0
41	15	94.74	100.0	90.0
42	34	90.32	90.32	90.32
43	12	92.31	85.71	100.0
44	12	100.0	100.0	100.0
45	36	66.67	68.0	65.38
46	30	92.68	95.0	90.48
47	31	78.43	76.92	80.0
48	18	100.0	100.0	100.0
49	5	100.0	100.0	100.0
50	15	94.74	100.0	90.0
51	22	96.0	100.0	92.31
52	26	89.47	89.47	89.47
53	16	84.21	80.0	88.89
54	25	87.5	87.5	87.5
55	48	98.11	100.0	96.3
56	28	76.6	75.0	78.26
57	28	78.95	78.95	78.95
58	8	83.33	83.33	83.33
59	23	94.74	94.74	94.74
60	24	66.67	63.16	70.59
61	18	87.5	82.35	93.33
62	18	89.66	86.67	92.86
63	25	100.0	100.0	100.0
64	34	86.79	88.46	85.19
65	19	80.0	75.0	85.71
66	27	73.08	76.0	70.37
67	28	60.0	52.94	69.23
68	34	94.34	96.15	92.59
69	38	87.1	87.1	87.1
70	13	100.0	100.0	100.0
71	14	91.67	100.0	84.62
72	23	88.89	92.31	85.71
73	28	89.36	91.3	87.5
74	6	100.0	100.0	100.0
75	26	65.12	63.64	66.67
76	16	92.31	85.71	100.0
77	33	97.14	100.0	94.44
78	14	66.67	72.73	61.54
79	26	87.18	89.47	85.0
